timestamp,s1,s10,s2,s3,s4,s5,s6,s7,s8,s9
2025-03-23 03:26:10,0,0,0,0,0,0,0,0,0,0
2025-03-23 03:26:20,11,12,11,12,12,12,12,11,12,11
2025-03-23 03:26:30,23,23,23,23,23,23,23,23,23,23
2025-03-23 03:26:40,23,23,23,23,23,23,23,34,23,23
2025-03-23 03:26:50,34,35,34,35,35,35,35,34,35,34
2025-03-23 03:27:00,46,47,46,47,47,47,47,46,47,46
2025-03-23 03:27:10,58,58,58,58,58,58,58,58,58,58
2025-03-23 03:27:20,70,70,69,71,70,70,71,69,70,69
2025-03-23 03:27:30,82,82,82,82,82,82,82,82,82,82
2025-03-23 03:27:40,82,82,93,82,82,82,82,93,82,94
2025-03-23 03:27:50,94,95,93,96,96,95,96,93,95,94
2025-03-23 03:28:00,107,107,107,107,107,107,107,107,107,107
2025-03-23 03:28:10,118,118,118,118,118,118,118,118,118,118
2025-03-23 03:28:20,129,129,129,129,129,129,129,129,129,129
2025-03-23 03:28:30,140,140,140,141,141,140,141,140,141,140
2025-03-23 03:28:40,152,152,152,153,153,152,153,152,153,56
2025-03-23 03:28:50,164,152,164,153,153,152,153,164,153,51
2025-03-23 03:29:00,164,164,164,164,164,164,164,164,164,51
2025-03-23 03:29:10,175,175,175,175,175,175,175,175,175,61.75
2025-03-23 03:29:20,185,185,185,185,185,185,185,186,185,72.25
2025-03-23 03:29:30,196,196,196,196,196,196,196,196,196,49.42857142857143
2025-03-23 03:29:40,207,207,207,207,207,207,206,207,207,60
2025-03-23 03:29:50,217,217,217,217,217,217,217,217,217,70.42857142857143
2025-03-23 03:30:00,228,228,228,228,228,228,228,228,228,81.14285714285714
2025-03-23 03:30:10,238,238,238,238,238,238,123,238,238,91.42857142857143
2025-03-23 03:30:20,249,249,249,249,249,249,69.75,249,249,102.42857142857143
2025-03-23 03:30:30,260,260,260,260,260,260,65,260,260,113
2025-03-23 03:30:40,270,270,270,270,270,270,76,270,270,123.42857142857143
2025-03-23 03:30:50,281,281,281,281,281,281,86.6,281,281,134.42857142857142
2025-03-23 03:31:00,292,292,292,292,292,292,97.2,292,292,145
2025-03-23 03:31:10,302,302,302,302,302,302,108,302,302,155.42857142857142
2025-03-23 03:31:20,313,313,313,313,313,313,119,313,313,166.42857142857142
2025-03-23 03:31:30,313,313,324,313,313,313,119,324,313,177.42857142857142
2025-03-23 03:31:40,324,324,324,324,324,324,129.6,324,324,177.42857142857142
2025-03-23 03:31:50,335,335,335,335,335,335,140,335,335,188
2025-03-23 03:32:00,345,345,345,345,345,345,150.6,345,345,198.42857142857142
2025-03-23 03:32:10,355,355,356,356,356,355,161,356,356,208.71428571428572
2025-03-23 03:32:20,366,366,366,366,366,366,172,366,366,219.42857142857142
2025-03-23 03:32:30,377,377,377,377,377,377,182.6,377,377,230.42857142857142
2025-03-23 03:32:40,387,387,387,387,387,387,192.8,388,387,240.57142857142858
2025-03-23 03:32:50,398,398,398,398,398,398,203,398,398,251.14285714285714
2025-03-23 03:33:00,408,408,408,408,408,408,213.8,408,408,261.42857142857144
2025-03-23 03:33:10,419,419,419,418,418,419,224,419,418,272
2025-03-23 03:33:20,429,429,429,429,429,429,234.6,429,429,221.44444444444446
2025-03-23 03:33:30,439,439,439,439,439,439,245,440,439,231.55555555555554
2025-03-23 03:33:40,450,450,450,450,450,450,255.4,450,450,242.22222222222223
2025-03-23 03:33:50,460,460,460,460,460,460,265.6,460,460,177.23076923076923
2025-03-23 03:34:00,471,470,471,470,470,471,276,471,470,129.94736842105263
2025-03-23 03:34:10,481,481,481,481,481,481,286.8,481,481,133.6
2025-03-23 03:34:20,492,492,492,492,492,492,297,492,492,144.4
2025-03-23 03:34:30,502,502,502,502,502,502,307.6,502,502,154.55
2025-03-23 03:34:40,512,512,512,512,512,512,317.6,512,512,164.75
2025-03-23 03:34:50,523,523,523,523,523,523,328,523,523,175.35
2025-03-23 03:35:00,533,533,533,533,533,533,338.6,533,533,185.55
2025-03-23 03:35:10,543,543,543,543,543,543,348.6,543,543,195.7
2025-03-23 03:35:20,554,553,554,553,553,553,359,554,553,206.2
2025-03-23 03:35:30,564,564,564,553,564,564,359,564,564,216.45
2025-03-23 03:35:40,564,564,564,564,564,564,369.4,564,564,216.45
2025-03-23 03:35:50,574,574,574,574,574,574,379.6,574,574,226.7
2025-03-23 03:36:00,584,584,585,584,584,584,390,585,584,237
